,FishnetID,ReportingMonth,PerformanceTarget,dl_avg_pred,df_error
648,934709,2018-05-01,0.39,0.43764349818229675,0.04764349818229674
649,934709,2018-06-01,0.3891,0.45203348994255066,0.06293348994255066
650,934710,2017-06-01,0.7862,0.0,-0.7862
788,939624,2018-02-01,0.821,0.832647979259491,0.011647979259491015
789,939624,2018-03-01,0.7736,0.8042961359024048,0.03069613590240483
790,939624,2018-04-01,0.7912,0.8084057569503784,0.017205756950378404
792,939624,2018-06-01,0.6786,0.838972806930542,0.160372806930542
803,939625,2018-04-01,0.7457,0.9528715014457703,0.20717150144577023
804,939625,2018-05-01,0.8245,0.8790504336357117,0.05455043363571166
805,939625,2018-06-01,0.8473,0.9005500078201294,0.05325000782012934
858,942079,2017-06-01,0.7879999999999999,0.0,-0.7879999999999999
859,942079,2017-07-01,0.7745,0.0,-0.7745
861,942079,2017-09-01,0.8447,0.878403902053833,0.033703902053833
871,942081,2017-06-01,0.7645,0.0,-0.7645
872,942081,2017-07-01,0.7536,0.0,-0.7536
935,944532,2018-06-01,0.8319,0.8928409218788147,0.060940921878814724
941,944534,2017-11-01,0.8413,0.8370612859725952,-0.004238714027404833
942,944534,2017-12-01,0.7501,0.81126469373703,0.06116469373703004
943,944534,2018-01-01,0.706,0.7451027631759644,0.039102763175964395
944,944534,2018-02-01,0.7069,0.750508725643158,0.043608725643157986
999,951899,2018-05-01,0.8463,0.886343777179718,0.040043777179717965
1000,951899,2018-06-01,0.8479,0.8061348795890808,-0.041765120410919176
1034,956837,2018-01-01,0.7533,0.9985805749893188,0.24528057498931888
1035,956837,2018-02-01,0.8215,0.7693125605583191,-0.052187439441680916
1039,956837,2018-06-01,0.8487,0.930078387260437,0.081378387260437
1079,974020,2017-06-01,0.8483,0.0,-0.8483
1101,1018158,2018-03-01,0.8276,0.997929573059082,0.17032957305908203
1117,1052599,2018-06-01,0.8246,0.8666968941688538,0.04209689416885376
1147,1101897,2017-09-01,0.7619,0.8936911225318909,0.13179112253189085
1148,1101897,2017-10-01,0.8438,0.790217399597168,-0.053582600402832026
1183,1148308,2017-06-01,0.5476,0.0,-0.5476
1184,1148308,2017-07-01,0.5142,0.0,-0.5142
1185,1148308,2017-08-01,0.4839,0.0,-0.4839
1186,1148308,2017-09-01,0.4655,0.5068042278289795,0.04130422782897947
1187,1148308,2017-10-01,0.4507,0.4860355854034424,0.03533558540344239
1188,1148308,2017-11-01,0.4359,0.469836950302124,0.033936950302124014
1189,1148308,2017-12-01,0.4296,0.4546331763267517,0.025033176326751727
1190,1148308,2018-01-01,0.4424,0.44625604152679443,0.003856041526794418
1191,1148308,2018-02-01,0.467,0.4547516703605652,-0.01224832963943484
1192,1148308,2018-03-01,0.4944,0.4756864905357361,-0.018713509464263922
1193,1148308,2018-04-01,0.5252,0.500729501247406,-0.024470498752593994
1194,1148308,2018-05-01,0.5498,0.5282625555992126,-0.02153744440078731
1195,1148308,2018-06-01,0.5637,0.5539537072181702,-0.009746292781829813
1209,1185219,2017-06-01,0.5404,0.0,-0.5404
1210,1185219,2017-07-01,0.5669,0.0,-0.5669
1211,1185219,2017-08-01,0.6166,0.0,-0.6166
1212,1185219,2017-09-01,0.6585,0.6697564125061035,0.011256412506103541
1213,1185219,2017-10-01,0.7083,0.7169501185417175,0.008650118541717489
1214,1185219,2017-11-01,0.7713,0.7641113996505737,-0.007188600349426255
1215,1185219,2017-12-01,0.823,0.8368854522705078,0.013885452270507859
1254,1244304,2017-12-01,0.8085,0.9371975660324097,0.12869756603240967
1255,1244304,2018-01-01,0.7979999999999999,0.8383607268333435,0.040360726833343574
1256,1244304,2018-02-01,0.7602,0.8251917362213135,0.06499173622131349
1279,1290900,2017-11-01,0.7707,0.8780604004859924,0.10736040048599238
1280,1290900,2017-12-01,0.8156,0.8043698072433472,-0.011230192756652824
1281,1290900,2018-01-01,0.8475,0.8285464644432068,-0.018953535556793244
1282,1290900,2018-02-01,0.8386,0.8466705679893494,0.008070567989349353
1283,1290900,2018-03-01,0.7881,0.8433528542518616,0.05525285425186155
1284,1290900,2018-04-01,0.7953,0.8089010715484619,0.013601071548461907
1394,1322282,2017-09-01,0.7937,0.9948669672012329,0.20116696720123295
1395,1322282,2017-10-01,0.6296,0.8136849403381348,0.18408494033813472
1396,1322282,2017-11-01,0.7043,0.7181776165962219,0.013877616596221887
1397,1322282,2017-12-01,0.7482,0.766419529914856,0.01821952991485598
1398,1322282,2018-01-01,0.7837,0.7929225564002991,0.00922255640029912
1399,1322282,2018-02-01,0.8093,0.8187929391860962,0.009492939186096172
1400,1322282,2018-03-01,0.8304,0.8340662717819214,0.0036662717819213597
1401,1322282,2018-04-01,0.8458,0.8494536280632019,0.003653628063201908
