,FishnetID,ReportingMonth,PerformanceTarget,dl_avg_pred,df_error
3791,2430123,2018-02-01,0.7377,0.7361139059066772,-0.0015860940933227763
3792,2430123,2018-03-01,0.784,0.752689003944397,-0.03131099605560306
3793,2430123,2018-04-01,0.7635,0.7875089049339294,0.024008904933929487
3808,2442481,2018-06-01,0.8403,0.9917995929718018,0.1514995929718017
3809,2489011,2017-06-01,0.7268,0.0,-0.7268
3810,2489011,2017-07-01,0.7729,0.0,-0.7729
3811,2489011,2017-08-01,0.8028,0.0,-0.8028
3812,2489011,2017-09-01,0.8326,0.8266608715057373,-0.005939128494262702
3813,2489011,2017-10-01,0.8136,0.8561930060386658,0.04259300603866578
3814,2489011,2017-11-01,0.7128,0.8394166231155396,0.12661662311553956
3815,2489011,2017-12-01,0.6675,0.7594628930091858,0.09196289300918581
3816,2489011,2018-01-01,0.6047,0.7170391082763672,0.11233910827636717
3817,2489011,2018-02-01,0.5763,0.6505905985832214,0.0742905985832214
3818,2489011,2018-03-01,0.5288,0.6145274043083191,0.08572740430831904
3819,2489011,2018-04-01,0.5288,0.5679746270179749,0.039174627017974806
3820,2489011,2018-05-01,0.5288,0.5615730285644531,0.03277302856445308
3821,2489011,2018-06-01,0.5288,0.5594625473022461,0.030662547302246046
3848,2494042,2017-06-01,0.7397,0.0,-0.7397
3849,2494042,2017-07-01,0.7959999999999999,0.0,-0.7959999999999999
3850,2494042,2017-08-01,0.8457,0.0,-0.8457
3855,2494042,2018-01-01,0.6313,0.924492359161377,0.293192359161377
3856,2494042,2018-02-01,0.7113,0.8017463684082031,0.09044636840820308
3857,2494042,2018-03-01,0.7628,0.82185298204422,0.05905298204421994
3858,2494042,2018-04-01,0.7986,0.8721206188201904,0.07352061882019045
3859,2494042,2018-05-01,0.8307,0.9050872921943665,0.07438729219436646
3860,2494042,2018-06-01,0.8408,0.9389824271202087,0.09818242712020875
3870,2496499,2018-03-01,0.8233,0.8806447386741638,0.05734473867416379
3874,2498953,2017-06-01,0.6299,0.0,-0.6299
3875,2498953,2017-07-01,0.6521,0.0,-0.6521
3876,2498953,2017-08-01,0.6799,0.0,-0.6799
3877,2498953,2017-09-01,0.7022,0.754726767539978,0.05252676753997798
3878,2498953,2017-10-01,0.73,0.7666940093040466,0.03669400930404665
3879,2498953,2017-11-01,0.7536,0.7823778986930847,0.02877789869308467
3880,2498953,2017-12-01,0.7703,0.7975283861160278,0.027228386116027847
3881,2498953,2018-01-01,0.787,0.810914158821106,0.023914158821105924
3882,2498953,2018-02-01,0.8093,0.8391590118408203,0.029859011840820293
3883,2498953,2018-03-01,0.8315,0.8552987575531006,0.02379875755310057
3900,2533324,2017-06-01,0.5921,0.0,-0.5921
3953,2678156,2017-07-01,0.7775,0.0,-0.7775
3954,2678156,2017-08-01,0.7305,0.0,-0.7305
3956,2678156,2017-10-01,0.7139,0.9928847551345825,0.27898475513458254
3963,2678156,2018-05-01,0.7958,0.9247211813926697,0.12892118139266973
3964,2678156,2018-06-01,0.7063,0.8044202923774719,0.09812029237747188
3965,2739512,2017-06-01,0.789,0.0,-0.789
3966,2739512,2017-07-01,0.8035,0.0,-0.8035
3967,2739512,2017-08-01,0.8248,0.0,-0.8248
3968,2739512,2017-09-01,0.8381,0.8491491079330444,0.011049107933044477
3969,2739512,2017-10-01,0.8492,0.8622374534606934,0.013037453460693404
3973,2739512,2018-02-01,0.8269,0.9915350675582886,0.1646350675582886
4039,2908693,2018-03-01,0.8221,0.9989266991615295,0.1768266991615295
4040,2908693,2018-04-01,0.7363,0.808262825012207,0.07196282501220708
4041,2908693,2018-05-01,0.6537,0.6880227327346802,0.03432273273468023
4042,2908693,2018-06-01,0.6505,0.6153287291526794,-0.035171270847320524
4053,2928450,2018-04-01,0.8395,0.9427424669265747,0.10324246692657468
4127,3448724,2017-12-01,0.7907,0.9676145911216736,0.17691459112167363
4142,3738363,2018-02-01,0.6158,0.9998769164085388,0.3840769164085388
4169,3740820,2018-03-01,0.7785,0.9896849989891052,0.21118499898910525
4170,3740820,2018-04-01,0.8018,0.848691463470459,0.04689146347045903
4171,3740820,2018-05-01,0.8393,0.8976625204086304,0.058362520408630325
4172,3740820,2018-06-01,0.8482,0.9283056259155273,0.08010562591552739
4207,4294909,2018-02-01,0.7811,0.9610762000083923,0.17997620000839232
4208,4294909,2018-03-01,0.7568,0.8117845058441162,0.05498450584411618
4209,4294909,2018-04-01,0.6559999999999999,0.793796718120575,0.13779671812057503
